	user_id	item	score	rank
0	44	Tangletown Fine Art - Sweatshirt	0.2237865346739647	1
1	44	DESIGNERS FOUNTAIN - Shorts	0.22143811246111741	2
2	44	Faith Connexion - Shorts	0.2158333407051469	3
3	44	LOFT - Vest	0.2152477588956718	4
4	44	Mohawk Home - Jacket	0.19904393182436955	5
5	44	Nanushka - Sweatshirt	0.19460057682755613	6
6	44	Undercover - Sweatshirt	0.18916311381984463	7
7	44	Coaster - Sweatshirt	0.1835726965308401	8
8	44	Saint Laurent - Shirt	0.16986996649557962	9
9	44	Halston Heritage - Hat	0.16950238749345892	10
