	user_id	item	score	rank
0	31	LOFT - Vest	0.2242353674489093	1
1	31	Undercover - Sweatshirt	0.2148912314192539	2
2	31	Faith Connexion - Shorts	0.2141017077603869	3
3	31	DESIGNERS FOUNTAIN - Shorts	0.20782933718560798	4
4	31	Kenzo - Jeans	0.20231898191183192	5
5	31	Tangletown Fine Art - Sweatshirt	0.19656470733170384	6
6	31	OFFEX - Vest	0.1938836878004257	7
7	31	Mohawk Home - Jacket	0.18958767825227452	8
8	31	Nanushka - Sweatshirt	0.18664835939224075	9
9	31	Saint Laurent - Shirt	0.18653159317795293	10
