	user_id	item	score	rank
0	67	DESIGNERS FOUNTAIN - Shorts	0.22673778694520694	1
1	67	Faith Connexion - Shorts	0.21653873048342656	2
2	67	Kenzo - Jeans	0.21276894344483718	3
3	67	Coaster - Sweatshirt	0.210298886804528	4
4	67	Saint Laurent - Shirt	0.19589080107575554	5
5	67	Tangletown Fine Art - Sweatshirt	0.1952097688944814	6
6	67	OFFEX - Vest	0.18965445051554441	7
7	67	A.P.C. - Belt	0.18365285610030585	8
8	67	Nanushka - Sweatshirt	0.1800995054738223	9
9	67	Mohawk Home - Jacket	0.17935803083775315	10
