	user_id	item	score	rank
0	13	Saint Laurent - Shirt	0.2259114962803896	1
1	13	Galvan - Hat	0.21661495654431798	2
2	13	Faith Connexion - Shorts	0.20713548457192524	3
3	13	Nanushka - Sweatshirt	0.1945122418465814	4
4	13	R13 - Shorts	0.18624713244857943	5
5	13	Tangletown Fine Art - Sweatshirt	0.18556416637111767	6
6	13	Mohawk Home - Jacket	0.1851982331394096	7
7	13	DESIGNERS FOUNTAIN - Shorts	0.18465614114167547	8
8	13	Undercover - Sweatshirt	0.1840794240729348	9
9	13	Balenciaga - Glasses	0.181076656394453	10
