	user_id	item	score	rank
0	19	DESIGNERS FOUNTAIN - Shorts	0.22173659980268123	1
1	19	Iceberg - Shoes	0.22085079886183015	2
2	19	Galvan - Hat	0.21666430886238608	3
3	19	Faith Connexion - Shorts	0.20261143679813798	4
4	19	Balenciaga - Glasses	0.1986950734930932	5
5	19	Mohawk Home - Jacket	0.19542697182232066	6
6	19	Undercover - Sweatshirt	0.19373024140664913	7
7	19	Tangletown Fine Art - Sweatshirt	0.19338974174233198	8
8	19	Pinko - Coat	0.1872524612570395	9
9	19	Nanushka - Sweatshirt	0.18586384908573358	10
