	user_id	item	score	rank
0	47	LOFT - Vest	0.22164881679785245	1
1	47	Galvan - Hat	0.219572946665156	2
2	47	Nanushka - Sweatshirt	0.21409077830345327	3
3	47	Undercover - Sweatshirt	0.20174199887423874	4
4	47	DESIGNERS FOUNTAIN - Shorts	0.20051185019021403	5
5	47	Coaster - Sweatshirt	0.20050599675980627	6
6	47	Faith Connexion - Shorts	0.1967627722865661	7
7	47	Mohawk Home - Jacket	0.19158376191730483	8
8	47	Tangletown Fine Art - Sweatshirt	0.19060842116464496	9
9	47	A.P.C. - Belt	0.1882129480810582	10
